Firm, Q3'20-Q4'20 , Q4'20-Q1'21 , Q1'21-Q2'21 , Q2'21-Q3'21 , Q3'21-Q4'21 , Q4'21-Q1'22 , Q1'22-Q2'22 , Q2'22-Q3'22 , Q3'22-Q4'22 , Q4'22-Q1'23 
OVERALL CATEGORY WESTERN SALTY,  19.73 ,  7.52 ,  -8.12 ,  5.68 ,  12.81 ,  2.56 ,  1.86 ,  3.67 ,  9.86 ,  -0.08 
HALDIRAM,  20.93 ,  2.58 ,  -6.02 ,  6.42 ,  17.05 ,  0.19 ,  -4.01 ,  4.53 ,  22.62 ,  -5.32 
I T C,  20.25 ,  10.64 ,  -11.12 ,  -2.74 ,  9.65 ,  4.26 ,  6.37 ,  2.92 ,  8.36 ,  -0.25 
BALAJI WAFERS P L,  26.58 ,  10.29 ,  -13.70 ,  15.69 ,  16.18 ,  2.29 ,  3.33 ,  5.47 ,  4.97 ,  0.72 
PARLE PRODS,  13.11 ,  2.62 ,  -13.48 ,  -5.08 ,  3.29 ,  0.61 ,  0.43 ,  -10.96 ,  12.25 ,  -2.63 
PRATAAP SNACKS PVT LTD,  19.36 ,  12.95 ,  -7.83 ,  5.63 ,  18.59 ,  4.72 ,  0.91 ,  1.61 ,  7.31 ,  -1.13 
PANJWANI FOOD PRODUCTS,  16.12 ,  10.58 ,  -7.49 ,  2.20 ,  5.58 ,  -4.31 ,  4.49 ,  -5.97 ,  5.30 ,  20.59 
D F M FOODS,  16.11 ,  8.57 ,  -4.39 ,  4.27 ,  16.12 ,  4.22 ,  5.04 ,  4.49 ,  3.19 ,  -0.94 
GOPAL SNACKS PVT LTD,  30.50 ,  3.75 ,  -13.45 ,  10.71 ,  11.77 ,  -0.24 ,  -6.45 ,  8.02 ,  9.14 ,  1.62 
BIKAJI FOODS INTERNATIONAL,  7.98 ,  -5.25 ,  -13.15 ,  1.84 ,  9.16 ,  11.80 ,  15.31 ,  9.64 ,  16.51 ,  5.09 
PEPSICO INDIA,  15.77 ,  6.47 ,  -4.77 ,  7.12 ,  9.91 ,  2.86 ,  1.26 ,  4.31 ,  9.85 ,  1.48 
