Fact,Product,MAY20,JUN20,JUL20,AUG20,SEP20,OCT20,NOV20,DEC20,JAN21,FEB21,MAR21,APR21,MAY21,JUN21,JUL21,AUG21,SEP21,OCT21,NOV21,DEC21,JAN22,FEB22,MAR22,APR22,MAY22,JUN22,JUL22,AUG22,SEP22,OCT22,NOV22,DEC22,JAN23,FEB23,MAR23,APR23
Val Sales ('000),OVERALL CATEGORY WESTERN SALTY,"  2,303,495 ","  2,674,295 ","  3,241,871 ","  3,385,381 ","  3,635,943 ","  3,988,414 ","  4,123,135 ","  4,176,208 ","  4,300,847 ","  4,326,450 ","  4,584,630 ","  4,412,498 ","  3,846,022 ","  3,880,077 ","  4,119,179 ","  4,320,817 ","  4,387,984 ","  4,688,623 ","  4,830,386 ","  4,952,801 ","  5,031,530 ","  4,678,083 ","  5,132,351 ","  4,960,216 ","  5,202,709 ","  4,954,413 ","  5,097,327 ","  5,277,283 ","  5,296,800 ","  5,851,139 ","  5,596,212 ","  5,768,956 ","  5,718,223 ","  5,539,942 ","  5,945,046 ","  5,922,842 "
Val Sales ('000),HALDIRAM,"  214,884 ","  241,083 ","  298,445 ","  308,629 ","  336,025 ","  380,791 ","  403,402 ","  356,342 ","  365,610 ","  388,435 ","  415,930 ","  405,480 ","  337,161 ","  356,931 ","  371,455 ","  392,570 ","  406,087 ","  426,986 ","  479,973 ","  462,631 ","  468,617 ","  432,833 ","  470,742 ","  444,350 ","  444,642 ","  428,107 ","  446,562 ","  462,049 ","  468,142 ","  592,887 ","  529,524 ","  565,748 ","  510,341 ","  520,252 ","  567,714 ","  569,608 "
Val Sales ('000),I T C,"  457,430 ","  496,432 ","  586,692 ","  599,842 ","  632,753 ","  691,329 ","  729,732 ","  766,609 ","  797,013 ","  797,023 ","  826,482 ","  786,903 ","  706,423 ","  657,957 ","  683,900 ","  697,512 ","  710,885 ","  760,468 ","  751,704 ","  782,090 ","  810,818 ","  752,871 ","  828,243 ","  821,771 ","  889,149 ","  833,272 ","  861,995 ","  882,423 ","  874,119 ","  938,754 ","  926,902 ","  971,810 ","  958,547 ","  908,667 ","  963,049 ","  963,559 "
Val Sales ('000),BALAJI WAFERS P L,"  208,941 ","  310,432 ","  402,686 ","  451,661 ","  468,973 ","  521,641 ","  552,620 ","  600,825 ","  618,149 ","  599,207 ","  630,172 ","  583,497 ","  478,841 ","  532,050 ","  577,585 ","  621,880 ","  645,077 ","  700,502 ","  711,688 ","  730,881 ","  741,230 ","  691,678 ","  759,298 ","  744,475 ","  781,277 ","  739,368 ","  757,239 ","  826,610 ","  805,228 ","  862,545 ","  803,227 ","  842,153 ","  843,363 ","  818,299 ","  864,347 ","  862,312 "
Val Sales ('000),PARLE PRODS,"  58,434 ","  68,747 ","  83,530 ","  82,020 ","  89,390 ","  96,530 ","  96,191 ","  95,637 ","  98,209 ","  98,631 ","  99,086 ","  94,625 ","  79,565 ","  81,831 ","  84,910 ","  82,908 ","  75,196 ","  84,357 ","  81,918 ","  84,746 ","  88,779 ","  79,958 ","  83,818 ","  83,423 ","  90,459 ","  79,750 ","  73,893 ","  74,706 ","  77,225 ","  80,164 ","  86,680 ","  86,649 ","  83,098 ","  79,711 ","  84,019 ","  79,220 "
Val Sales ('000),PRATAAP SNACKS PVT LTD,"  190,448 ","  198,995 ","  230,049 ","  226,195 ","  262,643 ","  288,799 ","  285,386 ","  283,881 ","  304,749 ","  319,974 ","  344,481 ","  333,722 ","  271,712 ","  287,893 ","  305,071 ","  308,782 ","  329,792 ","  354,419 ","  367,391 ","  397,235 ","  397,422 ","  368,528 ","  405,895 ","  394,427 ","  406,538 ","  381,554 ","  391,651 ","  398,939 ","  410,938 ","  425,308 ","  431,319 ","  432,720 ","  426,811 ","  409,888 ","  438,126 ","  438,897 "
Val Sales ('000),PANJWANI FOOD PRODUCTS,"  17,086 ","  21,188 ","  21,723 ","  20,326 ","  22,967 ","  25,099 ","  24,920 ","  25,476 ","  27,049 ","  27,260 ","  29,173 ","  27,446 ","  24,673 ","  25,108 ","  25,800 ","  25,960 ","  27,167 ","  28,470 ","  27,415 ","  27,447 ","  26,683 ","  24,819 ","  28,235 ","  28,414 ","  28,956 ","  25,950 ","  26,274 ","  25,735 ","  26,333 ","  26,363 ","  27,895 ","  28,237 ","  32,253 ","  32,292 ","  34,932 ","  37,415 "
Val Sales ('000),D F M FOODS,"  112,394 ","  124,619 ","  149,636 ","  156,687 ","  164,245 ","  180,425 ","  181,896 ","  184,048 ","  193,344 ","  195,322 ","  204,548 ","  202,401 ","  186,603 ","  178,166 ","  187,111 ","  198,459 ","  205,833 ","  219,877 ","  234,178 ","  232,695 ","  243,232 ","  226,180 ","  246,336 ","  246,366 ","  260,019 ","  245,442 ","  257,046 ","  264,818 ","  263,750 ","  267,781 ","  273,147 ","  269,738 ","  269,216 ","  260,114 ","  273,713 ","  273,891 "
Val Sales ('000),GOPAL SNACKS PVT LTD,"  37,312 ","  43,563 ","  71,461 ","  92,795 ","  104,702 ","  115,038 ","  113,786 ","  122,168 ","  120,919 ","  118,620 ","  124,619 ","  113,306 ","  97,316 ","  104,564 ","  112,019 ","  116,599 ","  120,326 ","  123,936 ","  127,804 ","  138,271 ","  134,184 ","  124,209 ","  130,670 ","  117,171 ","  122,601 ","  124,211 ","  128,982 ","  131,126 ","  133,049 ","  149,568 ","  137,209 ","  142,319 ","  147,121 ","  140,431 ","  148,499 ","  146,879 "
Val Sales ('000),BIKAJI FOODS INTERNATIONAL,"  26,787 ","  40,490 ","  50,992 ","  43,270 ","  50,535 ","  52,249 ","  52,765 ","  51,345 ","  51,258 ","  47,191 ","  49,709 ","  49,658 ","  37,397 ","  41,622 ","  43,869 ","  44,183 ","  42,996 ","  46,728 ","  49,009 ","  47,312 ","  51,963 ","  50,925 ","  57,039 ","  55,839 ","  64,775 ","  63,796 ","  65,330 ","  69,016 ","  67,835 ","  79,937 ","  77,800 ","  77,828 ","  81,415 ","  77,348 ","  88,791 ","  82,598 "
