Firm, Q1'21-Q2'21 , Q2'21-Q3'21 , Q3'21-Q4'21 , Q4'21-Q1'22 , Q1'22-Q2'22 , Q2'22-Q3'22 , Q3'22-Q4'22 , Q4'22-Q1'23 
OVERALL CATEGORY WESTERN SALTY,  -10 ,  6 ,  14 ,  2 ,  1 ,  5 ,  10 ,  0 
HALDIRAM,  -8 ,  2 ,  19 ,  -1 ,  -4 ,  8 ,  26 ,  -8 
I T C,  -15 ,  -2 ,  9 ,  5 ,  4 ,  6 ,  7 ,  1 
BALAJI WAFERS P L,  -13 ,  19 ,  19 ,  3 ,  1 ,  6 ,  3 ,  1 
PARLE PRODS,  -18 ,  -7 ,  5 ,  3 ,  -1 ,  -15 ,  16 ,  2 
PRATAAP SNACKS PVT LTD,  -13 ,  7 ,  17 ,  4 ,  1 ,  3 ,  5 ,  1 
PANJWANI FOOD PRODUCTS,  -13 ,  3 ,  2 ,  2 ,  1 ,  1 ,  7 ,  11 
D F M FOODS,  -5 ,  3 ,  17 ,  4 ,  4 ,  3 ,  5 ,  3 
GOPAL SNACKS PVT LTD,  -15 ,  13 ,  16 ,  1 ,  -10 ,  9 ,  8 ,  6 
BIKAJI FOODS INTERNATIONAL,  -15 ,  10 ,  11 ,  7 ,  21 ,  10 ,  20 ,  -1 
PEPSICO INDIA,  -7 ,  8 ,  11 ,  2 ,  2 ,  6 ,  9 ,  2 
